dataset,client_id,ind_local_acc,ind_global_acc,ind_switch_acc,ood_local_acc,ood_global_acc,ood_switch_acc,mix_local_acc,mix_global_acc,mix_switch_acc
mnist,0,0.997358816749904,0.9828082981175567,0.9844410295812523,0.0,0.9833455344070278,0.981068000650724,0.49875126074636184,0.9830939916430527,0.982757792613227
mnist,1,0.9935602575896965,0.9817422687707876,0.9829452975727124,0.0,0.9835508063505701,0.9831749270615189,0.4968328674050745,0.9834389044198308,0.9838635478962454
mnist,2,0.9948533453255384,0.9840103932443911,0.9845600359766152,0.0,0.9828555424410347,0.9825954748234541,0.4974266726627692,0.9830859941038325,0.9833108479488333
mnist,3,0.985343201277028,0.9791757364678566,0.9783050355536207,0.0,0.9841687715678252,0.9841331957735956,0.4927788663908847,0.9816024384933595,0.9811669932505988
mnist,4,0.9981787717636774,0.9873242514751949,0.9873242514751949,0.0,0.9821761768521315,0.9821761768521315,0.4992166721317448,0.984952818158633,0.984952818158633
mnist,5,0.9957045863932382,0.9808784813634475,0.9808784813634475,0.0,0.9837850484108988,0.9837850484108988,0.4978867872237234,0.9826785838010116,0.9826785838010116
mnist,6,0.9943788906438725,0.9841586918145498,0.9841586918145498,0.0,0.9827536411272022,0.9827536411272022,0.4972009941697057,0.9837634433578779,0.9837634433578779
mnist,7,0.9992236572799774,0.9859552544286824,0.9859552544286824,0.0,0.9824828500295535,0.9823932940481095,0.4996294597169778,0.9841902812577196,0.9841549917069555
mnist,8,0.9957933287142433,0.9846085321191725,0.9857962981292685,0.0,0.9826083463871149,0.9817247057878459,0.49794595129677294,0.9832458919025936,0.9834933676499703
mnist,9,0.9898344467034563,0.9826217446025752,0.9827185593958757,0.0,0.9834218312999068,0.9834218312999068,0.494929202468837,0.982911775384243,0.9829601839525596
mnist,10,0.9898780546585049,0.9800453077553382,0.9802381067142237,0.0,0.9845085578543439,0.9843664345319066,0.4950106054762823,0.9817778634785962,0.9818019668337833
mnist,11,0.9957811470006592,0.9864864864864865,0.9864864864864865,0.0,0.9822724785701259,0.9822724785701259,0.4979233964005538,0.9841782582899334,0.9841782582899334
mnist,12,0.9900894367899444,0.9830311820159536,0.9830795262267343,0.0,0.983250532292406,0.983250532292406,0.4950447183949722,0.9829344935943921,0.9829586656997824
mnist,13,0.9955308081178108,0.9807311890981024,0.9814638435050187,0.0,0.9837802346009831,0.9836205213749534,0.497783639227754,0.9824156500714364,0.9826354544455435
mnist,14,0.9902912621359223,0.982029499626587,0.9827763256161315,0.0,0.9836956521739131,0.983201581027668,0.4951918588367099,0.9827980580711418,0.9828914200354776
mnist,15,0.9915540540540541,0.980127186009539,0.9815679650238474,0.0,0.9844201154956689,0.9823949310234199,0.4958139765980175,0.9821628201624724,0.9821131344247633
mnist,16,0.995492802281194,0.988088120314584,0.988088120314584,0.0,0.9809768530990323,0.9809768530990323,0.4977578475336323,0.9847993560998045,0.9847993560998045
mnist,17,0.9943924367411252,0.9859579201038094,0.9860042636018167,0.0,0.9819503531452646,0.9819503531452646,0.49724230626622173,0.9844039673711531,0.9844271412680756
mnist,18,0.9988434292323262,0.9820008674280758,0.9841694376174642,0.0,0.98347754869494,0.9827475697040915,0.499457818260681,0.982903202486807,0.983915275066869
mnist,19,0.9946806092293703,0.9837235735394407,0.9838145032962037,0.0,0.9829392771586293,0.982835121341527,0.4973516106299302,0.9835868057923571,0.9836095387483235
fmnist,0,0.814952380952381,0.7029047619047619,0.7032857142857143,0.0,0.8567959183673469,0.8120408163265306,0.4074761904761905,0.7792380952380953,0.7577142857142857
fmnist,1,0.9628571428571429,0.6832142857142857,0.8389285714285715,0.0,0.8424821428571428,0.744,0.48142857142857143,0.76275,0.7932142857142858
fmnist,2,0.8897619047619048,0.7599523809523809,0.7997142857142857,0.0,0.8323469387755102,0.772,0.4448809523809524,0.7956666666666666,0.7854047619047619
fmnist,3,0.9991428571428571,0.8337142857142857,0.8783571428571428,0.0,0.8048571428571428,0.7741785714285714,0.49957142857142856,0.8196785714285715,0.8273928571428572
fmnist,4,0.9666428571428571,0.7344285714285714,0.852,0.0,0.8296785714285714,0.7775714285714286,0.48332142857142857,0.7825357142857143,0.8162857142857143
fmnist,5,0.9997857142857143,0.8615714285714285,0.8755,0.0,0.7978928571428572,0.7944285714285715,0.49989285714285714,0.8296071428571429,0.8350357142857143
fmnist,6,0.9741428571428571,0.8751428571428571,0.9137619047619048,0.0,0.7829795918367347,0.7338775510204082,0.48707142857142854,0.8290238095238095,0.8245238095238095
fmnist,7,0.9999285714285714,0.77,0.8067142857142857,0.0,0.8207857142857143,0.800875,0.4999642857142857,0.7947142857142857,0.80375
fmnist,8,0.9713809523809523,0.7388571428571429,0.8667619047619047,0.0,0.8413877551020408,0.754061224489796,0.4856904761904762,0.789952380952381,0.8109047619047619
fmnist,9,0.8908095238095238,0.7610476190476191,0.7785238095238095,0.0,0.8318775510204082,0.8015918367346939,0.4454047619047619,0.7958095238095239,0.7895238095238095
fmnist,10,0.9653333333333334,0.8817619047619047,0.8848095238095238,0.0,0.7801428571428571,0.7774285714285715,0.4826666666666667,0.8311428571428572,0.8315238095238096
fmnist,11,0.9997142857142857,0.9372857142857143,0.9372857142857143,0.0,0.7789642857142857,0.7789642857142857,0.49985714285714283,0.8585714285714285,0.8585714285714285
fmnist,12,0.9733809523809523,0.7980952380952381,0.8711904761904762,0.0,0.816,0.766265306122449,0.4866904761904762,0.8066666666666666,0.8188095238095238
fmnist,13,0.9767857142857143,0.8375714285714285,0.8760714285714286,0.0,0.8038928571428572,0.7792857142857142,0.48839285714285713,0.8221785714285714,0.8299642857142857
fmnist,14,0.9765714285714285,0.7635714285714286,0.8501428571428571,0.0,0.8307959183673469,0.7503469387755102,0.48828571428571427,0.7973809523809524,0.8019285714285714
fmnist,15,0.9733333333333334,0.8076190476190476,0.9064761904761904,0.0,0.8119183673469388,0.6978775510204082,0.4866666666666667,0.810047619047619,0.8037619047619048
fmnist,16,0.8490952380952381,0.7111904761904762,0.7511428571428571,0.0,0.8532448979591837,0.816530612244898,0.42454761904761906,0.7815,0.7835
fmnist,17,0.9651428571428572,0.833047619047619,0.8665714285714285,0.0,0.8010204081632653,0.7593469387755102,0.4825714285714286,0.8162142857142857,0.8126666666666666
fmnist,18,0.9989285714285714,0.7705714285714286,0.8390714285714286,0.0,0.8206428571428571,0.7644285714285715,0.4994642857142857,0.7943214285714286,0.8018571428571428
fmnist,19,0.9937142857142857,0.9359047619047619,0.9359047619047619,0.0,0.756938775510204,0.756938775510204,0.49685714285714283,0.8462619047619048,0.8462619047619048
cifar10,0,0.7495,0.44783333333333336,0.6031111111111112,0.0,0.36578571428571427,0.2606428571428571,0.3747812317693141,0.4075617412562158,0.43250826457760366
cifar10,1,0.5409166666666667,0.374,0.42983333333333335,0.0,0.3945,0.34158333333333335,0.27045833333333336,0.3867083333333333,0.3875416666666667
cifar10,2,0.5655555555555556,0.2571111111111111,0.42283333333333334,0.0,0.44752380952380955,0.36342857142857143,0.2828013445564908,0.3536683612523266,0.3941995166263855
cifar10,3,0.8750833333333333,0.23825,0.6474166666666666,0.0,0.4284375,0.2756875,0.43754166666666666,0.33645833333333336,0.46479166666666666
cifar10,4,0.8548333333333333,0.11141666666666666,0.5891666666666666,0.0,0.4601458333333333,0.2879583333333333,0.42741666666666667,0.2866666666666667,0.4387916666666667
cifar10,5,0.7066666666666667,0.49666666666666665,0.6145,0.0,0.36383333333333334,0.2977916666666667,0.35333333333333333,0.43245833333333333,0.4583333333333333
cifar10,6,0.8222777777777778,0.3826111111111111,0.6606666666666666,0.0,0.3937380952380952,0.2358095238095238,0.4111731533183321,0.3901158429869156,0.4496208017334778
cifar10,7,0.8143333333333334,0.5695833333333333,0.7159166666666666,0.0,0.34560416666666666,0.28339583333333335,0.4071666666666667,0.45908333333333334,0.5012083333333334
cifar10,8,0.6553333333333333,0.264,0.5015555555555555,0.0,0.44457142857142856,0.28535714285714286,0.3276939744978748,0.3545295441286774,0.39422729671917106
cifar10,9,0.7262777777777778,0.33255555555555555,0.5585555555555556,0.0,0.41519047619047617,0.29564285714285715,0.363169152984971,0.37469789149095756,0.4280634497319221
cifar10,10,0.5080555555555556,0.40555555555555556,0.44127777777777777,0.0,0.3839047619047619,0.33376190476190476,0.2540489485234881,0.3960607828430147,0.3887823985332111
cifar10,11,0.91975,0.60875,0.7883333333333333,0.0,0.3358125,0.21722916666666667,0.459875,0.47541666666666665,0.5058333333333334
cifar10,12,0.7514444444444445,0.22416666666666665,0.5571666666666667,0.0,0.46164285714285713,0.2603095238095238,0.37575353501680697,0.34269522460205015,0.40883962552434927
cifar10,13,0.8793333333333333,0.27416666666666667,0.6155833333333334,0.0,0.4194583333333333,0.31779166666666664,0.43966666666666665,0.3495,0.4671666666666667
cifar10,14,0.5608333333333333,0.4553333333333333,0.5072222222222222,0.0,0.36257142857142854,0.3016190476190476,0.2804400366697225,0.40989526905019863,0.4058949356890852
cifar10,15,0.6930555555555555,0.3725,0.5407222222222222,0.0,0.3980714285714286,0.28526190476190477,0.34655665749923603,0.38722671333722253,0.41386782231852653
cifar10,16,0.7820555555555555,0.49777777777777776,0.6481666666666667,0.0,0.3443809523809524,0.24142857142857144,0.39106036614162293,0.42228519043253604,0.4454537878156513
